OBS,HOUSEHOLDID,HEINZ,HUNTS,PRICEHEINZ,PRICEHUNTS,DISPLAYHEINZ,DISPLAYHUNTS,FEATUREHEINZ,FEATUREHUNTS
1,1,1,0,0.052000001,0.052000001,0,0,0,0
2,1,1,0,0.052000001,0.044,0,0,0,0
3,1,1,0,0.046,0.048,0,0,1,0
4,1,1,0,0.052000001,0.034000002,0,0,0,0
5,1,1,0,0.046,0.048,0,0,1,0
6,1,1,0,0.046999998,0.029999999,0,0,0,0
7,1,1,0,0.046,0.041000001,0,0,0,0
8,1,1,0,0.046,0.030999999,0,0,0,0
9,1,1,0,0.046999998,0.030999999,0,0,0,0
10,1,1,0,0.050000001,0.028000001,0,1,0,0
11,1,1,0,0.050000001,0.041000001,0,0,0,0
12,1,1,0,0.050000001,0.034000002,0,0,0,0
13,1,1,0,0.052999999,0.037,0,0,0,0
14,1,1,0,0.035999998,0.037,1,0,0,0
15,2,1,0,0.052000001,0.037,0,0,0,0
16,2,1,0,0.030999999,0.034000002,0,0,0,0
17,2,1,0,0.017999999,0.034000002,0,0,0,0
18,2,1,0,0.041999999,0.035,0,0,1,0
19,2,1,0,0.050000001,0.030999999,0,0,0,0
20,2,1,0,0.043000001,0.034000002,0,0,0,0
21,2,1,0,0.039000001,0.037,0,0,0,0
22,3,1,0,0.028000001,0.035999998,0,0,0,0
23,3,1,0,0.037,0.034000002,0,0,0,0
24,3,1,0,0.028000001,0.037,0,0,0,0
25,3,1,0,0.037,0.035,0,0,0,0
26,3,1,0,0.039000001,0.034000002,1,0,0,0
27,3,1,0,0.030999999,0.034000002,1,0,0,0
28,3,1,0,0.029999999,0.028000001,0,0,1,0
29,3,1,0,0.029999999,0.029999999,0,0,0,0
30,3,1,0,0.039000001,0.029999999,0,0,1,0
31,3,1,0,0.034000002,0.029999999,0,0,0,0
32,3,1,0,0.030999999,0.030999999,1,0,0,0
33,3,1,0,0.030999999,0.030999999,1,0,0,0
34,3,1,0,0.034000002,0.030999999,0,0,0,0
35,3,1,0,0.034000002,0.028999999,0,0,0,0
36,3,1,0,0.034000002,0.034000002,0,0,0,0
37,3,1,0,0.037,0.034000002,0,0,0,0
38,3,1,0,0.030999999,0.034000002,1,0,0,0
39,3,1,0,0.037,0.034000002,0,0,0,0
40,3,1,0,0.037,0.034000002,0,0,0,0
41,3,1,0,0.035999998,0.037,0,0,0,0
42,4,1,0,0.028000001,0.035,0,0,0,0
43,4,1,0,0.041999999,0.034000002,0,0,0,0
44,4,1,0,0.035,0.029999999,1,0,0,0
45,4,1,0,0.034000002,0.030999999,0,0,0,0
46,4,1,0,0.039000001,0.030999999,1,0,0,0
47,4,1,0,0.034000002,0.030999999,0,0,0,0
48,4,1,0,0.034000002,0.035,0,0,1,0
49,4,1,0,0.039000001,0.037,1,0,0,0
50,4,1,0,0.032000002,0.041000001,0,0,1,0
51,5,1,0,0.028000001,0.035999998,0,0,0,0
52,5,1,0,0.034000002,0.039000001,0,0,0,0
53,5,1,0,0.029999999,0.028000001,0,0,1,0
54,5,1,0,0.034000002,0.028000001,0,0,0,0
55,5,1,0,0.035,0.029999999,1,0,0,0
56,6,0,1,0.043333334,0.033,0,0,0,0
57,6,1,0,0.034000002,0.037999999,0,0,0,0
