OBS,PRIVATE,SUNSHINE,KEEBLER,NABISCO,PRICEPRIVATE,PRICESUNSHINE,PRICEKEEBLER,PRICENABISCO,FeatPrivate,FeatSunshine,FeatKeebler,FeatNabisco,DisplPrivate,DisplSunshine,DisplKeebler,DisplNabisco
1,0,0,0,1,0.709999979,0.980000019,0.879999995,1.199999928,0,0,0,0,0,0,0,0
2,0,0,0,1,0.709999979,0.99000001,1.089999914,0.99000001,0,0,0,0,0,0,0,0
3,0,1,0,0,0.779999912,0.49000001,1.089999914,1.089999914,0,0,0,0,0,1,0,0
4,0,0,0,1,0.779999912,1.029999971,1.089999914,0.889999986,0,0,0,0,0,0,0,0
5,0,0,0,1,0.639999986,1.089999914,1.089999914,1.190000057,0,0,0,0,0,0,0,0
6,0,0,0,1,0.839999914,0.889999986,1.089999914,1.190000057,0,0,0,0,0,0,0,0
7,0,1,0,0,0.779999912,1.089999914,1.089999914,1.289999962,0,0,0,0,0,0,0,1
8,0,0,0,1,0.779999912,1.089999914,1.190000057,1.289999962,0,0,0,0,0,0,0,1
9,0,0,0,1,0.779999912,1.089999914,1.209999919,1.089999914,0,0,0,0,0,0,0,1
10,0,0,0,1,0.779999912,0.789999962,1.209999919,1.089999914,0,0,0,0,0,1,0,1
11,0,0,0,1,0.959999979,1.089999914,1.129999995,1.089999914,0,0,0,0,0,0,0,1
12,0,0,0,1,0.859999955,1.089999914,1.209999919,0.99000001,0,0,0,0,0,0,0,0
13,0,0,0,1,0.859999955,0.889999986,1.209999919,0.99000001,0,0,0,0,0,1,0,0
14,0,0,0,1,0.959999979,1.089999914,1.089999914,1.289999962,0,0,0,0,0,0,1,1
15,0,0,0,1,0.789999962,1.089999914,1.089999914,1.289999962,0,0,0,0,0,0,0,0
16,0,0,0,1,0.959999979,1.289999962,1.039999962,1.289999962,0,0,0,0,0,0,0,1
17,0,0,0,1,0.689999998,0.789999962,0.99000001,0.689999998,0,0,0,0,0,0,0,0
18,0,1,0,0,0.649999976,0.689999998,1.049999952,0.889999986,0,1,0,0,0,1,0,1
